citation,associated_group_num
"Antón, S. C. (2004). The face of Olduvai hominid 12. Journal of Human Evolution, 46(3), 335-345.",52
"Carbonell, E., De Castro, J. M. B., Parés, J. M., Pérez-González, A., Cuenca-Bescós, G., Ollé, A., ... & Arsuaga, J. L. (2008). The first hominin of Europe. Nature, 452(7186), 465-469.",53
"Lebatard, A. E., Alçiçek, M. C., Rochette, P., Khatib, S., Vialet, A., Boulbes, N., ... & de Lumley, H. (2014). Dating the Homo erectus bearing travertine from Kocaba? (Denizli, Turkey) at at least 1.1 Ma. Earth and Planetary Science Letters, 390, 8-18.",54
"Asfaw, B., Gilbert, W. H., Beyene, Y., Hart, W. K., Renne, P. R., WoldeGabriel, G., ... & White, T. D. (2002). Remains of Homo erectus from Bouri, Middle Awash, Ethiopia. Nature, 416(6878), 317-320.",55
"Rightmire, P. G. (1996). The human cranium from Bodo, Ethiopia: evidence for speciation in the Middle Pleistocene?. Journal of Human Evolution, 31(1), 21-39.",56
"Asfaw, B. (1983). A new hominid parietal from Bodo, middle Awash Valley, Ethiopia. American Journal of Physical Anthropology, 61(3), 367-371.",56
"Wagner, G. A., Maul, L. C., Löscher, M., & Schreiber, H. D. (2011). Mauer–the type site of Homo heidelbergensis: palaeoenvironment and age. Quaternary Science Reviews, 30(11-12), 1464-1473.",57
"Wang, Q., & Sun, L. (2000). Eightieth year of Peking Man: Current status of Peking Man the Zhoukoudian site.",58
"Shen, G., Gao, X., Gao, B., & Granger, D. E. (2009). Age of Zhoukoudian Homo erectus determined with 26 Al/10 Be burial dating. Nature, 458(7235), 198-200.",58
"De Castro, J. B., Arsuaga, J. L., Carbonell, E., Rosas, A., Mart?nez, I., & Mosquera, M. (1997). A hominid from the Lower Pleistocene of Atapuerca, Spain: possible ancestor to Neandertals and modern humans. Science, 276(5317), 1392-1395.",59
"Parés, J. M., Arnold, L., Duval, M., Demuro, M., Pérez-González, A., de Castro, J. B., ... & Arsuaga, J. L. (2013). Reassessing the age of Atapuerca-TD6 (Spain): new paleomagnetic results. Journal of Archaeological Science, 40(12), 4586-4595.",59
"Abbate, E., Albianelli, A., Azzaroli, A., Benvenuti, M., Tesfamariam, B., Bruni, P., ... & Villa, I. (1998). A one-million-year-old Homo cranium from the Danakil (Afar) Depression of Eritrea. Nature, 393(6684), 458-460.",60
"Daura, J., Sanz, M., Arsuaga, J. L., Hoffmann, D. L., Quam, R. M., Ortega, M. C., ... & Zilhão, J. (2017). New Middle Pleistocene hominin cranium from Gruta da Aroeira (Portugal). Proceedings of the National Academy of Sciences, 114(13), 3397-3402.",61
"Roksandic, M., Mihailovi?, D., Mercier, N., Dimitrijevi?, V., Morley, M. W., Rako?evi?, Z., ... & Babb, J. (2011). A human mandible (BH-1) from the Pleistocene deposits of Mala Balanica cave (Si?evo Gorge, Niš, Serbia). Journal of Human Evolution, 61(2), 186-196.",62
"Skinner, M. M., de Vries, D., Gunz, P., Kupczik, K., Klassen, R. P., Hublin, J. J., & Roksandic, M. (2016). A dental perspective on the taxonomic affinity of the Balanica mandible (BH-1). Journal of human evolution, 93, 63-81",62
"Stringer, C. B., Trinkaus, E., Roberts, M. B., Parfitt, S. A., & Macphail, R. I. (1998). The middle Pleistocene human tibia from Boxgrove. Journal of human evolution, 34(5), 509-547.",63
"Sun, X., Yi, S., Lu, H., & Zhang, W. (2017). TT-OSL and post-IR IRSL dating of the Dali Man site in central China. Quaternary International, 434, 99-106.",64
"Xiao, J., Jin, C., & Zhu, Y. (2002). Age of the fossil Dali Man in north-central China deduced from chronostratigraphy of the loess–paleosol sequence. Quaternary Science Reviews, 21(20-22), 2191-2198.",64
"Berger, L. R., Hawks, J., de Ruiter, D. J., Churchill, S. E., Schmid, P., Delezene, L. K., ... & Zipfel, B. (2015). Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa. elife, 4, e09560.",65
"Dirks, P. H., Roberts, E. M., Hilbert-Wolf, H., Kramers, J. D., Hawks, J., Dosseto, A., ... & Berger, L. R. (2017). The age of Homo naledi and associated sediments in the Rising Star Cave, South Africa. Elife, 6, e24231.",65
"Curnoe, D., & Brink, J. (2010). Evidence of pathological conditions in the Florisbad cranium. Journal of human evolution, 59(5), 504-513.",66
"Grün, R., Huang, P. H., Huang, W., McDermott, F., Thorne, A., Stringer, C. B., & Yan, G. (1998). ESR and U-series analyses of teeth from the palaeoanthropological site of Hexian, Anhui Province, China. Journal of Human Evolution, 34(6), 555-564.",67
"Richter, D., Grün, R., Joannes-Boyau, R., Steele, T. E., Amani, F., Rué, M., ... & McPherron, S. P. (2017). The age of the hominin fossils from Jebel Irhoud, Morocco, and the origins of the Middle Stone Age. Nature, 546(7657), 293-296.",68
"Hublin, J. J., Ben-Ncer, A., Bailey, S. E., Freidline, S. E., Neubauer, S., Skinner, M. M., ... & Gunz, P. (2017). New fossils from Jebel Irhoud, Morocco and the pan-African origin of Homo sapiens. Nature, 546(7657), 289-292.",68
"Bischoff, J. L., Shamp, D. D., Aramburu, A., Arsuaga, J. L., Carbonell, E., & De Castro, J. B. (2003). The Sima de los Huesos hominids date to beyond U/Th equilibrium (> 350 kyr) and perhaps to 400–500 kyr: new radiometric dates. Journal of Archaeological Science, 30(3), 275-280.",69
"Clark, R. J. (1976). New cranium of Homo erectus from Lake Ndutu, Tanzania. Nature, 262(5568), 485-487.",70
"Rightmire, G. P. (1983). The Lake Ndutu cranium and early Homo sapiens in Africa. American Journal of Physical Anthropology, 61(2), 245-254.",70
"Wenban-Smith, F., & Bridgland, D. (2001). Palaeolithic archaeology at the Swan Valley Community School, Swanscombe, Kent. In PROCEEDINGS-PREHISTORIC SOCIETY (Vol. 67, pp. 219-260). THE PREHISTORIC SOCIETY.",71
"Hublin, J. J., Ben-Ncer, A., Bailey, S. E., Freidline, S. E., Neubauer, S., Skinner, M. M., ... & Gunz, P. (2017). New fossils from Jebel Irhoud, Morocco and the pan-African origin of Homo sapiens. Nature, 546(7657), 289-292.",72
"Prossinger, H., Seidler, H., Wicke, L., Weaver, D., Recheis, W., Stringer, C., & Müller, G. B. (2003). Electronic removal of encrustations inside the Steinheim cranium reveals paranasal sinus features and deformations, and provides a revised endocranial volume estimate. The Anatomical Record Part B: The New Anatomist: An Official Publication of the American Association of Anatomists, 273(1), 132-142.",73
"de Lumley, MA (2015). The man of Tautavel. An evolved European Homo erectus. Homo erectus tautavelensis. Anthropology , 119 (3), 303-348.",74
"Manzi, G., Mallegni, F., & Ascenzi, A. (2001). A cranium for the earliest Europeans: phylogenetic position of the hominid from Ceprano, Italy. Proceedings of the National Academy of Sciences, 98(17), 10011-10016.",75
"Delfino, V. P., & Vacca, E. (1994). Report of an archaic human skeleton discovered at Altamura (Bari), in the “Lamalunga” district. Human evolution, 9(1), 1-9.",76
"Lari, M., Di Vincenzo, F., Borsato, A., Ghirotto, S., Micheli, M., Balsamo, C., ... & Manzi, G. (2015). The Neanderthal in the karst: first dating, morphometric, and paleogenetic data on the fossil skeleton from Altamura (Italy). Journal of human evolution, 82, 88-94.",76
"de Lumley, M. A., Guipert, G., de Lumley, H., Protopapa, N., & Pitsios, T. (2020). Apidima 1 and Apidima 2: Two anteneandertal skulls in the Peloponnese, Greece. L'anthropologie, 124(1), 102743.",77
"Freidline, S. E., Gunz, P., Jankovi?, I., Harvati, K., & Hublin, J. J. (2012). A comprehensive morphometric analysis of the frontal and zygomatic bone of the Zuttiyeh fossil from Israel. Journal of Human Evolution, 62(2), 225-241.",78
"White, T., Asfaw, B., De Gusta, D., Gilbert, H., Richards, G. C., Suwa, G., & Howell, F. C. (2003). Homo sapiens from Middle Awash, Ethiopia. Nature, 423, 737-42.",79
"Clark, J. D., Beyene, Y., WoldeGabriel, G., Hart, W. K., Renne, P. R., Gilbert, H., ... & White, T. D. (2003). Stratigraphic, chronological and behavioural contexts of Pleistocene Homo sapiens from Middle Awash, Ethiopia. Nature, 423(6941), 747-752.",79
"Rajendran, P., Koshy, P., & Sadasivan, S. (2006). Homo Sapiens (Archaic) Baby Fossil of the Middle Pleistocene. Ancient Asia, 1.",80
"White, T. D., Hart, W. K., Walter, R. C., WoldeGabriel, G., de Heinzelin, J., Clark, J. D., ... & Vrba, E. (1993). New discoveries of Australopithecus at Maka in Ethiopia. Nature, 366(6452), 261-265.",81
"Callaway, E. (2018). Israeli fossils are the oldest modern humans ever found outside of Africa. Nature, 554(7690).",82
"Hershkovitz, I., Weber, G. W., Quam, R., Duval, M., Grün, R., Kinsley, L., ... & Weinstein-Evron, M. (2018). The earliest modern humans outside Africa. Science, 359(6374), 456-459.",82
"Huffman, O. F., De Vos, J. O. H. N., Berkhout, A. W., & Aziz, F. (2010). Provenience reassessment of the 1931–1933 Ngandong Homo erectus (Java), confirmation of the bone-bed origin reported by the discoverers. PaleoAnthropology, 2010, 1-60.",83
"Rizal, Y., Westaway, K. E., Zaim, Y., van den Bergh, G. D., Bettis, E. A., Morwood, M. J., ... & Ciochon, R. L. (2020). Last appearance of Homo erectus at Ngandong, Java, 117,000–108,000 years ago. Nature, 577(7790), 381-385.",83
"Chang, C. H., Kaifu, Y., Takai, M., Kono, R. T., Grün, R., Matsu’ura, S., ... & Lin, L. K. (2015). The first archaic Homo from Taiwan. Nature communications, 6(1), 1-10.",84
"Fleagle, J. G., Assefa, Z., Brown, F. H., & Shea, J. J. (2008). Paleoanthropology of the Kibish Formation, southern Ethiopia: introduction. Journal of human evolution, 55(3), 360-365.",85
"Soncin, S., Belli, M. L., & Manzi, G. (2017). The Museum of Anthropology at the Sapienza University, Rome. Nuova Museologia, (37), 8-14.",86
"Marra, F., Ceruleo, P., Jicha, B., Pandolfi, L., Petronio, C., & Salari, L. (2015). A new age within MIS 7 for the Homo neanderthalensis of Saccopastore in the glacio-eustatically forced sedimentary successions of the Aniene River Valley, Rome. Quaternary Science Reviews, 129, 260-274.",86
"Chen, F., Welker, F., Shen, C. C., Bailey, S. E., Bergmann, I., Davis, S., ... & Hublin, J. J. (2019). A late middle pleistocene denisovan mandible from the tibetan plateau. Nature, 569(7756), 409-412.",87
"Gibbons, A. (2019) First fossil jaw of Denisovans finally puts a face on elusive human relatives. Science. https://www.sciencemag.org/news/2019/05/first-fossil-jaw-denisovans-finally-puts-face-elusive-human-relatives.",87
